"","Alta Verapaz","Baja Verapaz","Chimaltenango","Chiquimula","El Progreso","Escuintla","Guatemala","Huehuetenango","Izabal","Jalapa","Jutiapa","Peten","Quezaltenango","Quiche","Retalhuleu","Sacatepequez","San Marcos","Santa Rosa","Solola","Suchitepequez","Totonicapan","Zacapa"
"Alta Verapaz",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"Baja Verapaz",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chimaltenango",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"Chiquimula",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"El Progreso",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Escuintla",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Guatemala",0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Huehuetenango",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
"Izabal",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Jalapa",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Jutiapa",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Peten",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quezaltenango",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
"Quiche",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Retalhuleu",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Sacatepequez",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Marcos",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Santa Rosa",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Solola",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"Suchitepequez",0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Totonicapan",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"Zacapa",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
